portNo,serviceName,serviceDescription,entryType,dependable
1,"tcpmux","TCP port service multiplexer",manual,true
5,"rje","Remote Job Entry",manual,false
7,"echo","Echo service",manual,true
9,"discard","Null service for connection testing",manual,true
11,"systat","System Status service for listing connected ports",manual,true
13,"daytime","Sends date and time to requesting host",manual,true
17,"qotd","Sends quote of the day to connected host",manual,true
18,"msp","Message Send Protocol",manual,true
19,"chargen","Character Generation service; sends endless stream of characters",manual,true
20,"ftp-data","FTP data port",manual,true
21,"ftp","File Transfer Protocol (FTP) port; sometimes used by File Service Protocol (FSP)",manual,true
22,"ssh","Secure Shell (SSH) service",manual,true
23,"telnet","The Telnet service",manual,true
25,"smtp","Simple Mail Transfer Protocol (SMTP)",manual,true
37,"time","Time Protocol",manual,true
39,"rlp","Resource Location Protocol",manual,true
42,"nameserver","Internet Name Service",manual,true
43,"nicname","WHOIS directory service",manual,true
49,"tacacs","Terminal Access Controller Access Control System for TCP/IP based authentication and access",manual,true
50,"re-mail-ck","Remote Mail Checking Protocol",manual,true
53,"domain","domain name services (such as BIND)",manual,true
63,"whois++","WHOIS++, extended WHOIS services",manual,true
67,"bootps","Bootstrap Protocol (BOOTP) services; also used by Dynamic Host Configuration Protocol (DHCP) services",manual,true
68,"bootpc","Bootstrap (BOOTP) client; also used by Dynamic Host Control Protocol (DHCP) clients",manual,true
69,"tftp","Trivial File Transfer Protocol (TFTP)",manual,true
70,"gopher","Gopher Internet document search and retrieval",manual,true
71,"netrjs-1","Remote Job Service",manual,true
72,"netrjs-2","Remote Job Service",manual,true
73,"netrjs-3","Remote Job Service",manual,true
73,"netrjs-4","Remote Job Service",manual,true
79,"finger","Finger service for user contact information",manual,true
80,"http","HyperText Transfer Protocol (HTTP) for World Wide Web (WWW) services",manual,true
88,"kerberos","Kerberos network authentication system",manual,true
95,"supdup","Telnet protocol extension",manual,true
101,"hostname","Hostname services on SRI-NIC machines",manual,true
102,"iso-tsap","ISO Development Environment (ISODE) network applications",manual,true
105,"csnet-ns","Mailbox nameserver; also used by CSO nameserver",manual,true
107,"rtelnet","Remote Telnet",manual,true
109,"pop2","Post Office Protocol version 2",manual,true
110,"pop3","Post Office Protocol version 3",manual,true
111,"sunrpc","Remote Procedure Call (RPC) Protocol for remote command execution, used by Network Filesystem (NFS)",manual,false
113,"auth","Authentication and Ident protocols",manual,true
115,"sftp","Secure File Transfer Protocol (SFTP) services",manual,true
117,"uucp-path","Unix-to-Unix Copy Protocol (UUCP) Path services",manual,true
119,"nntp","Network News Transfer Protocol (NNTP) for the USENET discussion system",manual,true
123,"ntp","Network Time Protocol (NTP)",manual,true
137,"netbios-ns","NETBIOS Name Service used in Red Hat Enterprise Linux by Samba",manual,true
138,"netbios-dgm","NETBIOS Datagram Service used in Red Hat Enterprise Linux by Samba",manual,true
139,"netbios-ssn","NETBIOS Session Service used in Red Hat Enterprise Linux by Samba",manual,true
143,"imap","Internet Message Access Protocol (IMAP)",manual,true
161,"snmp","Simple Network Management Protocol (SNMP)",manual,true
162,"snmptrap","Traps for SNMP",manual,true
163,"cmip-man","Common Management Information Protocol (CMIP)",manual,true
164,"cmip-agent","Common Management Information Protocol (CMIP)",manual,true
174,"mailq","MAILQ email transport queue",manual,true
177,"xdmcp","X Display Manager Control Protocol (XDMCP)",manual,true
178,"nextstep","NeXTStep window server",manual,true
179,"bgp","Border Gateway Protocol",manual,true
191,"prospero","Prospero distributed filesystem services",manual,true
194,"irc","Internet Relay Chat (IRC)",manual,true
199,"smux","SNMP UNIX Multiplexer",manual,true
201,"at-rtmp","AppleTalk routing",manual,true
202,"at-nbp","AppleTalk name binding",manual,true
204,"at-echo","AppleTalk echo",manual,true
206,"at-zis","AppleTalk zone information",manual,true
209,"qmtp","Quick Mail Transfer Protocol (QMTP)",manual,true
210,"z39.50","NISO Z39.50 database",manual,true
213,"ipx","Internetwork Packet Exchange (IPX), a datagram protocol commonly used in Novell Netware environments",manual,true
220,"imap3","Internet Message Access Protocol version 3",manual,true
245,"link","LINK / 3-DNS iQuery service",manual,true
347,"fatserv","FATMEN file and tape management server",manual,true
363,"rsvp_tunnel","RSVP Tunnel",manual,true
369,"rpc2portmap","Coda file system portmapper",manual,true
370,"codaauth2","Coda file system authentication services",manual,true
372,"ulistproc","UNIX LISTSERV",manual,true
389,"ldap","Lightweight Directory Access Protocol (LDAP)",manual,true
427,"svrloc","Service Location Protocol (SLP)",manual,true
434,"mobileip-agent","Mobile Internet Protocol (IP) agent",manual,true
435,"mobilip-mn","Mobile Internet Protocol (IP) manager",manual,true
443,"https","Secure Hypertext Transfer Protocol (HTTP)",manual,true
444,"snpp","Simple Network Paging Protocol",manual,true
445,"microsoft-ds","Server Message Block (SMB) over TCP/IP",manual,true
464,"kpasswd","Kerberos password and key changing services",manual,true
468,"photuris","Photuris session key management protocol",manual,true
487,"saft","Simple Asynchronous File Transfer (SAFT) protocol",manual,true
488,"gss-http","Generic Security Services (GSS) for HTTP",manual,true
496,"pim-rp-disc","Rendezvous Point Discovery (RP-DISC) for Protocol Independent Multicast (PIM) services",manual,true
500,"isakmp","Internet Security Association and Key Management Protocol (ISAKMP)",manual,true
535,"iiop","Internet Inter-Orb Protocol (IIOP)",manual,true
538,"gdomap","GNUstep Distributed Objects Mapper (GDOMAP)",manual,true
546,"dhcpv6-client","Dynamic Host Configuration Protocol (DHCP) version 6 client",manual,true
547,"dhcpv6-server","Dynamic Host Configuration Protocol (DHCP) version 6 Service",manual,true
554,"rtsp","Real Time Stream Control Protocol (RTSP)",manual,true
563,"nntps","Network News Transport Protocol over Secure Sockets Layer (NNTPS)",manual,true
565,"whoami","whoami user ID listing",manual,true
587,"submission","Mail Message Submission Agent (MSA)",manual,true
610,"npmp-local","Network Peripheral Management Protocol (NPMP) local / Distributed Queueing System (DQS)",manual,true
611,"npmp-gui","Network Peripheral Management Protocol (NPMP) GUI / Distributed Queueing System (DQS)",manual,true
612,"hmmp-ind","HyperMedia Management Protocol (HMMP) Indication / DQS",manual,true
631,"ipp","Internet Printing Protocol (IPP)",manual,true
636,"ldaps","Lightweight Directory Access Protocol over Secure Sockets Layer (LDAPS)",manual,true
674,"acap","Application Configuration Access Protocol (ACAP)",manual,true
694,"ha-cluster","Heartbeat services for High-Availability Clusters",manual,true
749,"kerberos-adm","Kerberos version 5 (v5) 'kadmin' database administration",manual,true
750,"kerberos-iv","Kerberos version 4 (v4) services",manual,true
765,"webster","Network Dictionary",manual,true
767,"phonebook","Network Phonebook",manual,true
873,"rsync","rsync file transfer services",manual,true
992,"telnets","Telnet over Secure Sockets Layer (TelnetS)",manual,true
993,"imaps","Internet Message Access Protocol over Secure Sockets Layer (IMAPS)",manual,true
994,"ircs","Internet Relay Chat over Secure Sockets Layer (IRCS)",manual,true
995,"pop3s","Post Office Protocol version 3 over Secure Sockets Layer (POP3S)",manual,true
