classType,name,producer,description,keyword,entry,source,tags
WindowsUser,krbtgt,Microsoft Corporation,user of Kerberos authentication protocol in windows Active Directory (AD) environment,krbtgt,manual,http://www.itprotoday.com/security/q-what-krbtgt-account-used-active-directory-ad-environment,windows
WindowsUser,Administrator,Microsoft Corporation,system administrator user,Administrator,manual,,windows
WindowsUser,linux-ldap-user,Microsoft Corporation,LDAP Authentication User In Linux,linux-ldap-user,manual,https://www.howtoforge.com/linux_ldap_authentication,windows
VulnerabilityScanner,Tenable Nessus,"Tenable™ Inc","Nessus is the most trusted vulnerability scanning platform for auditors and security analysts by Tenable Network Security, Inc.",Tenable Nessus,manual,https://www.tenable.com/products/nessus/select-your-operating-system,VulnerabilityScanner
CommonPackage,Mozilla Firefox,"Mozilla Foundation, Mozilla Corporation","A reliable web browser",Mozilla Firefox,manual,https://www.mozilla.org/en-US/firefox/new/,"browser,clientOfWindows,clientOfLinux,clientOfMac"
CommonPackage,Adobe Acrobat Reader,"Adobe systems","Adobe Acrobat Reader DC software is the free global standard for reliably viewing, printing, and commenting on PDF documents",adobe acrobat reader,manual,https://get.adobe.com/reader/,"clientOfWindows,clientOfLinux,clientOfMac"
CommonPackage,VMware Tools,VMware,"VMware Tools is a suite of utilities that enhances the performance of the virtual machines guest operating system and improves management of the virtual machine. Without VMware Tools installed in your guest operating system, guest performance lacks important functionality",VMware Tools,manual,https://kb.vmware.com/s/article/340,"clientOfWindows,clientOfLinux,clientOfMac"
CommonPackage,PuTTY,Simon Tatham,"PuTTY is a free and open-source terminal emulator, serial console and network file transfer application. It supports several network protocols, including SCP, SSH, Telnet, rlogin, and raw socket connection. It can also connect to a serial port",PuTTY,manual,https://en.wikipedia.org/wiki/PuTTY,"clientOfWindows,clientOfLinux,clientOfMac"
CommonPackage,NMSecurity,NM Security Works,"NM Security Works (NMSW) is a professional security systems installer and consulting company",NMSecurity,manual,http://www.nmsecurityworks.com/index.html,"clientOfWindows,clientOfLinux,clientOfMac"
WindowsPackage,Microsoft Visual C++ Redistributable,Microsoft Corporation,"The Microsoft Visual C++ Redistributable Package (x86) installs runtime components of Visual C++ Libraries required to run applications developed with Visual C++ on a computer that does not have Visual C++ installed.",Microsoft Visual C++ Redistributable,manual,https://www.microsoft.com/en-us/download/details.aspx?id=29,WindowsPackage
WindowsPackage,Microsoft Visual C++ Minimum Runtime,Microsoft Corporation,"Microsoft Visual C++ Minimum runtime contains components of Visual C++ Libraries required to run applications developed with Visual C++ on a computer that does not have Visual C++ installed.",Microsoft Visual C++ Minimum Runtime,manual,https://support.microsoft.com/en-us/help/2977003/the-latest-supported-visual-c-downloads,WindowsPackage
WindowsPackage,Desktop Experience,Microsoft Corporation,"Desktop Experience includes features of Windows 8, such as Windows Media Player, desktop themes, and photo management. Desktop Experience does not enable any of the Windows 8 features","Desktop Experience",manual,,WindowsPackage
WindowsPackage,Simple TCP/IP Services,Microsoft Corporation,"Simple TCP/IP Services supports the following TCP/IP services: Character Generator, Daytime, Discard, Echo and Quote of the Day. Simple TCP/IP Services is provided for backward compatibility and should not be installed unless it is required.","Simple-TCPIP",manual,,WindowsPackage
WindowsPackage,"Microsoft .NET Framework SDK",Microsoft Corporation,"The Microsoft® .NET Framework Software Development Kit (SDK) version 1.1 includes everything developers need to write, build, test, and deploy .NET Framework applications—documentation, samples, and command-line tools and compilers.","Microsoft .NET Framework SDK",manual,https://www.microsoft.com/en-us/download/details.aspx?id=16217,WindowsPackage
WindowsPackage,"WinSCP",Martin Přikryl,"WinSCP is a free and open-source SFTP, FTP, WebDAV and SCP client for Microsoft Windows. Its main function is secure file transfer between a local and a remote computer.","WinSCP",manual,https://en.wikipedia.org/wiki/WinSCP,WindowsPackage
WebApplicationServer,Web Server (IIS),Microsoft Corporation,"Web Server (IIS) provides a reliable, manageable, and scalable Web application infrastructure.","Web Server (IIS)",manual,,"WindowsPackage,applicationServer"
DatabaseServerInstance,Oracle Database,Oracle Corporation,"Oracle Database is a multi-model database management system produced and marketed by Oracle Corporation.","Oracle Database",manual,https://en.wikipedia.org/wiki/Oracle_Database,"databaseServer"
