classType,producer,name,version,entry,source,tags,ESP_DEP,ASLR,SEHOP,UAC,DNSSEC,Encryption,Cryptography,Firewall_Defender,Authentication
WindowsOperatingSystem,Microsoft Corporation,Windows 10,NT 10.0,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
WindowsOperatingSystem,Microsoft Corporation,Windows 8.1,NT 6.3,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
WindowsOperatingSystem,Microsoft Corporation,Windows 8,NT 6.2,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
WindowsOperatingSystem,Microsoft Corporation,Windows 7,NT 6.1,manual,http://resources.infosecinstitute.com/windows-7-security-features,client,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
WindowsOperatingSystem,Microsoft Corporation,Windows Vista,NT 6.0,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
WindowsOperatingSystem,Microsoft Corporation,Windows XP Professional x64,NT 5.2,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows XP,NT 5.1,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows ME,4.9,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 2000,NT 5.0,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 98,4.1,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows NT 4.0,NT 4.0,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 95,4,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows NT 3.51,NT 3.51,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows NT 3.5,NT 3.50,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 3.2,3.2,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows for Workgroups 3.11,3.11,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows NT 3.1,NT 3.10,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 3.1,3.1,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 3.0,3,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 2.11,2.11,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 2.10,2.1,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 2.03,2.03,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 1.04,1.04,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 1.03,1.03,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 1.02,1.02,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 1.01,1,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,client,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows Server 2016,NT 10.0,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,server,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows Server 2012 R2,NT 6.3,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,server,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows Server 2012,NT 6.2,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,server,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows Server 2008 R2,NT 6.1,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,server,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows Server 2008,NT 6.0,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,server,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows Server 2003 R2,NT 5.2,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,server,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows Server 2003,NT 5.2,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,server,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows 2000,NT 5.0,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,server,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
