classType,defaultPort,serviceName,serviceDescription,entry,source
Port,1/tcp,"tcpmux","TCP Port Service Multiplexer",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,1/udp,"tcpmux","TCP Port Service Multiplexer",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,2/tcp,"compressnet","Management Utility",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,2/udp,"compressnet","Management Utility",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,3/tcp,"compressnet","Compression Process",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,3/udp,"compressnet","Compression Process",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,5/tcp,"rje","Remote Job Entry",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,5/udp,"rje","Remote Job Entry",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,7/tcp,"echo","Echo",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,7/udp,"echo","Echo",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,9/tcp,"discard","Discard",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,9/udp,"discard","Discard",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,9/sctp,"discard","Discard",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,9/dccp,"discard","Discard",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,11/tcp,"systat","Active Users",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,11/udp,"systat","Active Users",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,13/tcp,"daytime","Daytime",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,13/udp,"daytime","Daytime",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,17/tcp,"qotd","Quote of the Day",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,17/udp,"qotd","Quote of the Day",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,18/tcp,"msp","Message Send Protocol (historic)",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,18/udp,"msp","Message Send Protocol (historic)",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,19/tcp,"chargen","Character Generator",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,19/udp,"chargen","Character Generator",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,20/tcp,"ftp-data","File Transfer [Default Data]",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,20/udp,"ftp-data","File Transfer [Default Data]",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,20/sctp,"ftp-data","FTP",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,21/tcp,"ftp","File Transfer Protocol [Control]",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,21/udp,"ftp","File Transfer Protocol [Control]",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,21/sctp,"ftp","FTP",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,22/tcp,"ssh","The Secure Shell (SSH) Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,22/udp,"ssh","The Secure Shell (SSH) Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,22/sctp,"ssh","SSH",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,23/tcp,"telnet","Telnet",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,23/udp,"telnet","Telnet",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,25/tcp,"smtp","Simple Mail Transfer",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,25/udp,"smtp","Simple Mail Transfer",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,27/tcp,"nsw-fe","NSW User System FE",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,27/udp,"nsw-fe","NSW User System FE",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,29/tcp,"msg-icp","MSG ICP",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,29/udp,"msg-icp","MSG ICP",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,31/tcp,"msg-auth","MSG Authentication",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,31/udp,"msg-auth","MSG Authentication",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,33/tcp,"dsp","Display Support Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,33/udp,"dsp","Display Support Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,37/tcp,"time","Time",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,37/udp,"time","Time",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,38/tcp,"rap","Route Access Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,38/udp,"rap","Route Access Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,39/tcp,"rlp","Resource Location Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,39/udp,"rlp","Resource Location Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,41/tcp,"graphics","Graphics",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,41/udp,"graphics","Graphics",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,42/tcp,"name","Host Name Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,42/udp,"name","Host Name Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,42/tcp,"nameserver","Host Name Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,42/udp,"nameserver","Host Name Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,43/tcp,"nicname","Who Is",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,43/udp,"nicname","Who Is",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,44/tcp,"mpm-flags","MPM FLAGS Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,44/udp,"mpm-flags","MPM FLAGS Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,45/tcp,"mpm","Message Processing Module [recv]",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,45/udp,"mpm","Message Processing Module [recv]",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,46/tcp,"mpm-snd","MPM [default send]",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,46/udp,"mpm-snd","MPM [default send]",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,48/tcp,"auditd","Digital Audit Daemon",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,48/udp,"auditd","Digital Audit Daemon",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,49/tcp,"tacacs","Login Host Protocol (TACACS)",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,49/udp,"tacacs","Login Host Protocol (TACACS)",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,50/tcp,"re-mail-ck","Remote Mail Checking Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,50/udp,"re-mail-ck","Remote Mail Checking Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,52/tcp,"xns-time","XNS Time Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,52/udp,"xns-time","XNS Time Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,53/tcp,"domain","Domain Name Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,53/udp,"domain","Domain Name Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,54/tcp,"xns-ch","XNS Clearinghouse",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,54/udp,"xns-ch","XNS Clearinghouse",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,55/tcp,"isi-gl","ISI Graphics Language",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,55/udp,"isi-gl","ISI Graphics Language",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,56/tcp,"xns-auth","XNS Authentication",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,56/udp,"xns-auth","XNS Authentication",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,58/tcp,"xns-mail","XNS Mail",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,58/udp,"xns-mail","XNS Mail",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,62/tcp,"acas","ACA Services",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,62/udp,"acas","ACA Services",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,63/tcp,"whoispp","whois++",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,63/tcp,"whois++","whois++",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,63/udp,"whoispp","whois++",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,63/udp,"whois++","whois++",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,64/tcp,"covia","Communications Integrator (CI)",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,64/udp,"covia","Communications Integrator (CI)",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,65/tcp,"tacacs-ds","TACACS-Database Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,65/udp,"tacacs-ds","TACACS-Database Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,66/tcp,"sql-net","Oracle SQL*NET",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,66/tcp,"sql*net","Oracle SQL*NET",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,66/udp,"sql-net","Oracle SQL*NET",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,66/udp,"sql*net","Oracle SQL*NET",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,67/tcp,"bootps","Bootstrap Protocol Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,67/udp,"bootps","Bootstrap Protocol Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,68/tcp,"bootpc","Bootstrap Protocol Client",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,68/udp,"bootpc","Bootstrap Protocol Client",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,69/tcp,"tftp","Trivial File Transfer",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,69/udp,"tftp","Trivial File Transfer",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,70/tcp,"gopher","Gopher",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,70/udp,"gopher","Gopher",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,71/tcp,"netrjs-1","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,71/udp,"netrjs-1","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,72/tcp,"netrjs-2","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,72/udp,"netrjs-2","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,73/tcp,"netrjs-3","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,73/udp,"netrjs-3","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
